Date/Time,DistrictCooling:Facility [J](Monthly) 
January,89849340011.59938 
February,90004168019.14478 
March,117901870558.71565 
April,130815480648.10822 
May,152921398764.47827 
June,163879176586.44394 
July,177852134697.4526 
August,181655202769.83102 
September,160318868114.35773 
October,142073455439.4246 
November,114796887276.87863 
December,92433094123.27138 
